id,name,address,city,province,region,baselineLevel,baselineSource,lat,lng,notes
BR-RN-RIC-065,Spiaggia 62 Sandrino,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.999544,12.6673652,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-066,Spiaggia 61 Della Rosa,"Lungomare della Repubblica 61, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9993676,12.6676782,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-067,Spiaggia 60 Bagni Giorgio,"Lungomare della Repubblica 60, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.999001,12.6680785,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-068,Spiaggia 59 - Bagni Cicca,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9989392,12.6683645,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-069,Spiaggia 58 - Bagni Leo,"Lungomare della Repubblica 58, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9987169,12.6686612,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-070,Bagni Massimo Bagno 57 Tonini Massimo,"Lungomare della Repubblica 57, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9985854,12.6691079,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-071,Spiaggia 56 Riccione,"Lungomare della Repubblica 56, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9984214,12.6692458,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-072,Bagno 55 Mulazzani - Riccione,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9983049,12.6695985,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-073,Spiaggia 54 Riccione - Bagni Nino e Nando,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9979452,12.6697904,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-074,Spiaggia 53 Bagni Luciano E Renzo,"Lungomare della Repubblica 53, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9976875,12.6702197,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-075,Area 52 Papaya Beach Village Riccione,"Lungomare della Repubblica, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9975339,12.670665,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-076,Spiaggia Libera Piazzale San Martino,"Piazzale S. Martino 1, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9972528,12.6712864,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-077,Spiaggia 51,"47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9967711,12.6716292,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-078,Spiaggia 50 Cesare,"Lungomare della Repubblica 50, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9965751,12.6720486,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-079,Bagni 48 Bice Riccione,"47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9962196,12.6728172,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-080,Spiaggia 46/47,"Piazzale Marinai d'Italia, 47838 Riccione RN",Riccione,RN,Emilia-Romagna,2,PRED,43.9957733,12.6730508,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-081,Flamingo Beach,"Via Torino 7, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9954468,12.6739463,lat/lng to be filled via overrides/geocoding pipeline.
BR-RN-RIC-082,Lab Beach 44,"Via Torino, 47838 Riccione RN, Italia",Riccione,RN,Emilia-Romagna,2,PRED,43.9951636,12.6741822,lat/lng to be filled via overrides/geocoding pipeline.
